ID,HOUR,MONTH,DAY,YEAR,ACT1,ACT2,SL_METERS,TURN_DEGRE,type,time
2282,2,6,15,2002,7,4,38,62,cutblk,aother
2283,4,6,15,2002,70,37,225,-14,cutblk,creep
2284,6,6,15,2002,74,18,280,-85,cutblk,creep
2285,8,6,15,2002,255,0,38,-18,cutblk,creep
2288,14,6,15,2002,104,27,163,-98,aforest,aother
2291,20,6,15,2002,14,9,285,124,aforest,creep
2292,22,6,15,2002,24,22,472,19,open,creep
2293,0,6,16,2002,28,13,714,-156,cutblk,aother
2294,2,6,16,2002,49,0,786,-34,cutblk,aother
2295,4,6,16,2002,36,16,231,-41,cutblk,creep
2296,6,6,16,2002,81,98,713,44,cutblk,creep
2297,8,6,16,2002,0,0,483,173,aforest,creep
2298,10,6,16,2002,80,46,1000,19,aforest,aother
2299,12,6,16,2002,94,102,461,-84,aforest,aother
2300,14,6,16,2002,22,0,425,-70,aforest,aother
2303,20,6,16,2002,21,39,227,-66,cutblk,creep
2304,22,6,16,2002,42,34,359,39,cutblk,creep
2305,0,6,17,2002,5,0,52,133,cutblk,aother
2306,2,6,17,2002,0,0,87,57,cutblk,aother
2307,4,6,17,2002,42,19,82,21,cutblk,creep
2308,6,6,17,2002,68,43,95,16,cutblk,creep
2311,12,6,17,2002,24,0,127,147,aforest,aother
2312,14,6,17,2002,34,14,315,121,cutblk,aother
2315,20,6,17,2002,34,39,881,111,cutblk,creep
2316,22,6,17,2002,62,2,66,33,cutblk,creep
2317,0,6,18,2002,51,115,48,-70,cutblk,aother
2318,2,6,18,2002,11,35,245,-66,cutblk,aother
2319,4,6,18,2002,22,57,331,52,cutblk,creep
2320,6,6,18,2002,0,0,431,-138,cutblk,creep
2321,8,6,18,2002,7,31,42,-109,cutblk,creep
2322,10,6,18,2002,5,0,39,78,cutblk,aother
2323,12,6,18,2002,85,84,526,113,cutblk,aother
2324,14,6,18,2002,58,30,83,-126,cutblk,aother
2327,20,6,18,2002,68,151,790,-29,cutblk,creep
2330,2,6,19,2002,40,73,30,-145,cutblk,aother
2331,4,6,19,2002,46,17,61,95,cutblk,creep
2332,6,6,19,2002,39,8,758,-77,cutblk,creep
2333,8,6,19,2002,62,101,397,45,aforest,creep
2334,10,6,19,2002,197,109,134,69,aforest,aother
2335,12,6,19,2002,111,51,515,-58,cutblk,aother
2336,14,6,19,2002,30,68,473,77,cutblk,aother
2337,16,6,19,2002,59,0,173,-64,aforest,aother
2340,22,6,19,2002,11,12,138,33,cutblk,creep
2341,0,6,20,2002,0,4,409,-133,cutblk,aother
2342,2,6,20,2002,7,65,25,-165,cutblk,aother
2343,4,6,20,2002,48,120,65,121,cutblk,creep
2344,6,6,20,2002,20,54,184,-50,cutblk,creep
2345,8,6,20,2002,150,123,498,92,cutblk,creep
2346,10,6,20,2002,5,0,345,36,cutblk,aother
2347,12,6,20,2002,41,0,48,-58,cutblk,aother
2348,14,6,20,2002,88,13,189,-23,other,aother
2351,20,6,20,2002,255,129,439,-21,cutblk,creep
2352,22,6,20,2002,99,11,2100,-98,open,creep
2353,0,6,21,2002,9,0,503,157,aforest,aother
2354,2,6,21,2002,17,0,74,8,cutblk,aother
2355,4,6,21,2002,41,30,126,136,cutblk,creep
2356,6,6,21,2002,126,34,996,-34,cutblk,creep
2357,8,6,21,2002,201,113,820,-12,aforest,creep
2358,10,6,21,2002,182,44,1921,-73,decid,aother
2364,22,6,21,2002,8,0,113,-25,aforest,creep
2365,0,6,22,2002,9,16,61,44,aforest,aother
2366,2,6,22,2002,0,0,33,-14,aforest,aother
2367,4,6,22,2002,52,64,6,34,open,creep
2368,6,6,22,2002,41,23,21,-20,open,creep
2369,8,6,22,2002,22,108,192,-19,open,creep
2370,10,6,22,2002,25,0,405,-50,aforest,aother
2371,12,6,22,2002,78,20,627,-56,cutblk,aother
2372,14,6,22,2002,37,91,341,38,aforest,aother
2373,16,6,22,2002,80,37,119,141,aforest,aother
2374,18,6,22,2002,16,7,141,132,decid,creep
2375,20,6,22,2002,9,38,204,-68,aforest,creep
2376,22,6,22,2002,3,2,880,-80,aforest,creep
2377,0,6,23,2002,13,64,23,108,aforest,aother
2378,2,6,23,2002,0,0,24,84,aforest,aother
2381,8,6,23,2002,12,255,3728,46,aforest,creep
2382,10,6,23,2002,0,1,1065,-64,aforest,aother
2383,12,6,23,2002,0,1,1338,-24,aforest,aother
2384,14,6,23,2002,28,27,99,-75,cutblk,aother
2385,16,6,23,2002,21,24,603,174,cutblk,aother
2386,18,6,23,2002,24,20,108,-126,aforest,creep
2387,20,6,23,2002,32,71,101,-40,cutblk,creep
2388,22,6,23,2002,84,38,784,-128,aforest,creep
2389,0,6,24,2002,0,1,447,150,cutblk,aother
2390,2,6,24,2002,36,28,129,-57,cutblk,aother
2391,4,6,24,2002,56,36,318,-125,cutblk,creep
2392,6,6,24,2002,99,44,968,56,aforest,creep
2393,8,6,24,2002,43,10,502,82,aforest,creep
2394,10,6,24,2002,75,23,134,-65,aforest,aother
2395,12,6,24,2002,52,5,67,27,aforest,aother
2396,14,6,24,2002,9,20,27,-70,cutblk,aother
2397,16,6,24,2002,104,0,155,131,cutblk,aother
2398,18,6,24,2002,108,76,6,140,cutblk,creep
2399,20,6,24,2002,80,19,114,88,cutblk,creep
2400,22,6,24,2002,55,12,109,83,cutblk,creep
2401,0,6,25,2002,162,238,208,127,cutblk,aother
2402,2,6,25,2002,0,0,160,160,other,aother
2403,4,6,25,2002,0,1,64,-171,cutblk,creep
2404,6,6,25,2002,22,65,212,86,aforest,creep
2407,12,6,25,2002,13,24,364,-89,aforest,aother
2410,18,6,25,2002,86,22,28,-7,cutblk,creep
2411,20,6,25,2002,25,7,103,102,cutblk,creep
2412,22,6,25,2002,33,69,241,97,cutblk,creep
2413,0,6,26,2002,0,0,151,102,cutblk,aother
2414,2,6,26,2002,0,5,76,134,cutblk,aother
2415,4,6,26,2002,41,21,104,124,cutblk,creep
2416,6,6,26,2002,225,39,885,-55,other,creep
